Unnamed: 0,instance,nodes,edges,nbest,nend,components,strength,plength,npaths
1,P10_EVOCA.log_GA_Fnk_2_20_S_stn,63,75,1,7,1,0.2,7.5714,7
1,P10_EVOCA.log_GA_Fnk_2_38_S_stn,36,73,1,5,1,0.2,3.5,8
1,P10_EVOCA.log_GA_Fnk_2_52_S_stn,50,83,1,6,1,1.0,4.5,8
1,P10_EVOCA.log_GA_Fnk_3_20_S_stn,54,76,1,9,2,0.3,4.1429,7
1,P10_EVOCA.log_GA_Fnk_3_34_S_stn,41,63,1,5,1,0.5,3.75,8
1,P10_EVOCA.log_GA_Fnk_3_48_S_stn,68,101,1,7,1,0.2,6.1,10
1,P10_EVOCA.log_GA_Fnk_4_20_S_stn,56,79,1,8,1,0.2,3.625,8
1,P10_EVOCA.log_GA_Fnk_4_30_S_stn,52,86,1,8,1,0.2,3.6667,6
1,P10_EVOCA.log_GA_Fnk_4_40_S_stn,39,70,1,6,1,0.2,3.75,8
1,P10_EVOCA.log_GA_Fnk_5_20_S_stn,56,81,1,9,1,0.3,4.6,10
1,P10_EVOCA.log_GA_Fnk_5_28_S_stn,47,65,1,6,2,0.1,6.3333,3
1,P10_EVOCA.log_GA_Fnk_5_38_S_stn,34,55,1,5,1,0.2,3.75,8
1,P10_EVOCA.log_GA_Fnk_6_20_S_stn,62,78,1,9,3,0.1,9.0,1
1,P10_EVOCA.log_GA_Fnk_6_26_S_stn,62,83,1,8,3,0.1,5.0,1
1,P10_EVOCA.log_GA_Fnk_6_32_S_stn,45,65,1,6,1,0.4,3.125,8
1,P10_EVOCA.log_GA_FALL_S_stn,70,83,1,9,3,0.1,5.0,1
