Unnamed: 0,instance,nodes,edges,nbest,nend,components,strength,plength,npaths
1,P20_EVOCA.log_GA_Fnk_2_20_S_stn,33,69,1,5,1,1.1,2.0,8
1,P20_EVOCA.log_GA_Fnk_2_38_S_stn,21,51,1,5,1,0.8,3.2857,7
1,P20_EVOCA.log_GA_Fnk_2_52_S_stn,20,54,1,3,1,0.8,2.1111,9
1,P20_EVOCA.log_GA_Fnk_3_20_S_stn,29,59,1,6,1,0.8,2.7143,7
1,P20_EVOCA.log_GA_Fnk_3_34_S_stn,23,55,1,3,1,0.7,3.3333,9
1,P20_EVOCA.log_GA_Fnk_3_48_S_stn,18,53,1,4,1,0.7,2.5714,7
1,P20_EVOCA.log_GA_Fnk_4_20_S_stn,31,65,1,4,1,0.7,2.125,8
1,P20_EVOCA.log_GA_Fnk_4_30_S_stn,26,59,1,4,1,1.3,2.8,10
1,P20_EVOCA.log_GA_Fnk_4_40_S_stn,23,46,1,4,1,0.2,4.6667,6
1,P20_EVOCA.log_GA_Fnk_5_20_S_stn,24,45,1,2,1,0.6,2.75,8
1,P20_EVOCA.log_GA_Fnk_5_28_S_stn,22,51,1,3,1,0.7,2.6667,9
1,P20_EVOCA.log_GA_Fnk_5_38_S_stn,25,64,1,2,1,1.5,2.5,8
1,P20_EVOCA.log_GA_Fnk_6_20_S_stn,22,48,1,4,1,0.1,3.125,8
1,P20_EVOCA.log_GA_Fnk_6_26_S_stn,22,43,1,4,1,1.4,2.5556,9
1,P20_EVOCA.log_GA_Fnk_6_32_S_stn,27,64,1,4,1,0.3,2.875,8
1,P20_EVOCA.log_GA_FALL_S_stn,32,60,1,5,1,0.4,3.1429,7
