Unnamed: 0,instance,nodes,edges,nbest,nend,components,strength,plength,npaths
1,P10_EVOCA.log_GA_Fnk_2_20_S_stn,34,64,1,5,1,0.3,3.0,8
1,P10_EVOCA.log_GA_Fnk_2_38_S_stn,19,53,1,3,1,0.8,1.6667,6
1,P10_EVOCA.log_GA_Fnk_2_52_S_stn,29,59,1,4,1,1.3,3.375,8
1,P10_EVOCA.log_GA_Fnk_3_20_S_stn,27,61,1,5,1,1.2,2.2857,7
1,P10_EVOCA.log_GA_Fnk_3_34_S_stn,22,45,1,3,1,1.1,2.1667,6
1,P10_EVOCA.log_GA_Fnk_3_48_S_stn,35,88,1,6,1,0.3,2.5556,9
1,P10_EVOCA.log_GA_Fnk_4_20_S_stn,30,69,1,6,1,0.6,2.5,8
1,P10_EVOCA.log_GA_Fnk_4_30_S_stn,23,59,1,3,1,0.4,2.3333,6
1,P10_EVOCA.log_GA_Fnk_4_40_S_stn,21,50,1,3,1,0.5,2.3333,6
1,P10_EVOCA.log_GA_Fnk_5_20_S_stn,29,68,1,4,1,1.4,1.7778,9
1,P10_EVOCA.log_GA_Fnk_5_28_S_stn,23,49,1,3,1,0.1,3.5,6
1,P10_EVOCA.log_GA_Fnk_5_38_S_stn,17,36,1,3,1,0.6,4.4,5
1,P10_EVOCA.log_GA_Fnk_6_20_S_stn,25,61,1,6,1,0.1,4.5,8
1,P10_EVOCA.log_GA_Fnk_6_26_S_stn,24,68,1,5,1,0.2,2.2857,7
1,P10_EVOCA.log_GA_Fnk_6_32_S_stn,22,51,1,2,1,1.1,2.6667,6
1,P10_EVOCA.log_GA_FALL_S_stn,32,68,1,6,1,0.2,2.7778,9
