Run Fitness1 Solution1 Fitness2 Solution2
1 5.11834 049000000008040014 2027004500.0 068005001025048011
1 2027004500.0 068005001025048011 2027004500.0 068005001025048011
1 2027004500.0 068005001025048011 5.11834 049000000008040014
1 5.11834 049000000008040014 5927690000.0 056004000016017003
1 5927690000.0 056004000016017003 15052900.0 056004000016017020
1 15052900.0 056004000016017020 5.11834 049000000008040014
1 5.11834 049000000008040014 14082800000.0 070005001002009006
1 14082800000.0 070005001002009006 20189.5 052005001002009006
1 20189.5 052005001002009006 5.11834 049000000008040014
1 5.11834 049000000008040014 15824.6 004004002002029022
1 15824.6 004004002002029022 9877.55 011004002002029022
1 9877.55 011004002002029022 5.11834 049000000008040014
1 5.11834 049000000008040014 15806.1 062001000037025014
1 15806.1 062001000037025014 69.8955 062001000043025014
1 69.8955 062001000043025014 5.11834 049000000008040014
1 5.11834 049000000008040014 240788.0 044001000047039011
1 240788.0 044001000047039011 27103.5 044001000023039011
1 27103.5 044001000023039011 5.11834 049000000008040014
1 5.11834 049000000008040014 4410190000.0 031000002036024000
1 4410190000.0 031000002036024000 34047.9 031000002036032000
1 34047.9 031000002036032000 5.11834 049000000008040014
1 5.11834 049000000008040014 43501.1 034002001047000001
1 43501.1 034002001047000001 25901.2 034002001033000001
1 25901.2 034002001033000001 5.11834 049000000008040014
1 5.11834 049000000008040014 412976.0 062000000033026018
1 412976.0 062000000033026018 381872.0 021000000033026018
1 381872.0 021000000033026018 5.11834 049000000008040014
1 5.11834 049000000008040014 1262890.0 037000000002029006
1 1262890.0 037000000002029006 1007810.0 037000000002025006
1 1007810.0 037000000002025006 5.11834 049000000008040014
1 5.11834 049000000008040014 2054970.45 031000002002034015
1 2054970.45 031000002002034015 2054970.45 031000002002034015
1 2054970.45 031000002002034015 5.11834 049000000008040014
1 5.11834 049000000008040014 24853.8 011000001016017022
1 24853.8 011000001016017022 12987.1 011000001020017022
1 12987.1 011000001020017022 5.11834 049000000008040014
1 5.11834 049000000008040014 1112070.0 008001002043040015
1 1112070.0 008001002043040015 828202.0 008001002043040024
1 828202.0 008001002043040024 5.11834 049000000008040014
1 5.11834 049000000008040014 8703340.0 049002001043040024
1 8703340.0 049002001043040024 21117.9 049002001043008024
1 21117.9 049002001043008024 5.11834 049000000008040014
1 5.11834 049000000008040014 56514.1 052006000037016004
1 56514.1 052006000037016004 4842.11 052004000037016004
1 4842.11 052004000037016004 5.11834 049000000008040014
1 5.11834 049000000008040014 1458810.0 004003002033020015
1 1458810.0 004003002033020015 853435.0 004003002033033015
1 853435.0 004003002033033015 5.11834 049000000008040014
1 5.11834 049000000008040014 4393480.0 031001001043009014
1 4393480.0 031001001043009014 20686.6 031001001049009014
1 20686.6 031001001049009014 5.11834 049000000008040014
1 5.11834 049000000008040014 3972870.0 052001000043030000
1 3972870.0 052001000043030000 2188770.0 052001000043048000
1 2188770.0 052001000043048000 5.11834 049000000008040014
1 5.11834 049000000008040014 54318.8 034002002009009007
1 54318.8 034002002009009007 52412.8 034000002009009007
1 52412.8 034000002009009007 5.11834 049000000008040014
1 5.11834 049000000008040014 507654.0 004000001002047024
1 507654.0 004000001002047024 59.9065 004000000002047024
1 59.9065 004000000002047024 5.11834 049000000008040014
1 5.11834 049000000008040014 10781.4 059004000031039014
1 10781.4 059004000031039014 5.11834 049000000008040014
1 5.11834 049000000008040014 4557560.0 058004000045047018
1 4557560.0 058004000045047018 11875.6 058004000045038018
1 11875.6 058004000045038018 5.11834 049000000008040014
1 5.11834 049000000008040014 255509.0 010000002036039000
1 255509.0 010000002036039000 225461.0 005000002036039000
1 225461.0 005000002036039000 5.11834 049000000008040014
1 5.11834 049000000008040014 6532433.8 011002001015010007
1 6532433.8 011002001015010007 6532433.8 011002001015010007
1 6532433.8 011002001015010007 5.11834 049000000008040014
1 5.11834 049000000008040014 690102.0 005000002037009018
1 690102.0 005000002037009018 12752.7 005000002037009035
1 12752.7 005000002037009035 5.11834 049000000008040014
1 5.11834 049000000008040014 28235.1 062000001008011002
1 28235.1 062000001008011002 15577.7 062000001038011002
1 15577.7 062000001038011002 5.11834 049000000008040014
1 5.11834 049000000008040014 7375150000.0 052000001002042004
1 7375150000.0 052000001002042004 41.2424 052000000002042004
1 41.2424 052000000002042004 5.11834 049000000008040014
1 5.11834 049000000008040014 54721.8 049001000000009022
1 54721.8 049001000000009022 6173.66 049000000000009022
1 6173.66 049000000000009022 5.11834 049000000008040014
1 5.11834 049000000008040014 46354.3 058001000012016004
1 46354.3 058001000012016004 2891.26 058001000012016041
1 2891.26 058001000012016041 5.11834 049000000008040014
1 5.11834 049000000008040014 389007.0 004004001002045021
1 389007.0 004004001002045021 379274.0 004002001002045021
1 379274.0 004002001002045021 5.11834 049000000008040014
1 5.11834 049000000008040014 14591.9 011005000050025014
1 14591.9 011005000050025014 87.3328 011005000050025034
1 87.3328 011005000050025034 5.11834 049000000008040014
1 5.11834 049000000008040014 3743660.0 052000001037017022
1 3743660.0 052000001037017022 26867.7 078000001037017022
1 26867.7 078000001037017022 5.11834 049000000008040014
1 5.11834 049000000008040014 8097180000.0 058000001002026007
1 8097180000.0 058000001002026007 241570000.0 058000001002023007
1 241570000.0 058000001002023007 5.11834 049000000008040014
