Unnamed: 0,instance,nodes,edges,nbest,nend,components,strength,plength,npaths
1,P50_EVOCA.log_GA_Fnk_2_20_S_stn,84,78,1,8,7,0.1,11.0,1
1,P50_EVOCA.log_GA_Fnk_2_38_S_stn,74,70,1,9,7,0.1,10.5,2
1,P50_EVOCA.log_GA_Fnk_2_52_S_stn,83,84,1,9,4,0.1,9.1667,6
1,P50_EVOCA.log_GA_Fnk_3_20_S_stn,83,74,1,9,10,0.1,7.0,1
1,P50_EVOCA.log_GA_Fnk_3_34_S_stn,81,75,1,9,8,0.1,6.0,2
1,P50_EVOCA.log_GA_Fnk_3_48_S_stn,81,89,1,8,1,0.1,10.4444,9
1,P50_EVOCA.log_GA_Fnk_4_20_S_stn,69,63,1,9,8,0.1,5.0,1
1,P50_EVOCA.log_GA_Fnk_4_30_S_stn,78,75,1,9,8,0.1,5.0,1
1,P50_EVOCA.log_GA_Fnk_4_40_S_stn,83,76,1,9,9,0.1,3.0,1
1,P50_EVOCA.log_GA_Fnk_5_20_S_stn,78,72,1,9,9,0.1,3.0,1
1,P50_EVOCA.log_GA_Fnk_5_28_S_stn,89,83,1,9,7,0.1,9.0,1
1,P50_EVOCA.log_GA_Fnk_5_38_S_stn,76,73,1,8,8,0.1,4.0,1
1,P50_EVOCA.log_GA_Fnk_6_20_S_stn,77,69,1,9,9,0.1,8.0,1
1,P50_EVOCA.log_GA_Fnk_6_26_S_stn,79,73,1,8,7,0.1,8.0,1
1,P50_EVOCA.log_GA_Fnk_6_32_S_stn,91,86,1,9,7,0.1,10.5,4
1,P50_EVOCA.log_GA_FALL_S_stn,67,59,1,9,9,0.1,10.0,1
