Unnamed: 0,instance,nodes,edges,nbest,nend,components,strength,plength,npaths
1,P20_EVOCA.log_GA_Fnk_2_20_S_stn,82,77,1,9,7,0.1,8.0,1
1,P20_EVOCA.log_GA_Fnk_2_38_S_stn,85,85,1,9,7,0.1,9.0,1
1,P20_EVOCA.log_GA_Fnk_2_52_S_stn,76,80,1,8,3,0.1,7.3333,3
1,P20_EVOCA.log_GA_Fnk_3_20_S_stn,83,76,1,9,10,0.1,11.0,1
1,P20_EVOCA.log_GA_Fnk_3_34_S_stn,84,80,1,9,7,0.1,11.0,4
1,P20_EVOCA.log_GA_Fnk_3_48_S_stn,78,78,1,9,4,0.1,10.3333,6
1,P20_EVOCA.log_GA_Fnk_4_20_S_stn,80,76,1,9,8,0.1,4.0,1
1,P20_EVOCA.log_GA_Fnk_4_30_S_stn,84,82,1,9,7,0.1,6.0,2
1,P20_EVOCA.log_GA_Fnk_4_40_S_stn,70,66,1,9,7,0.1,8.3333,3
1,P20_EVOCA.log_GA_Fnk_5_20_S_stn,65,60,1,8,7,0.1,5.0,1
1,P20_EVOCA.log_GA_Fnk_5_28_S_stn,79,75,1,9,9,0.1,9.0,1
1,P20_EVOCA.log_GA_Fnk_5_38_S_stn,89,88,1,9,8,0.1,11.0,1
1,P20_EVOCA.log_GA_Fnk_6_20_S_stn,67,60,1,9,9,0.1,4.0,1
1,P20_EVOCA.log_GA_Fnk_6_26_S_stn,72,69,1,9,5,0.1,6.6667,3
1,P20_EVOCA.log_GA_Fnk_6_32_S_stn,85,79,1,9,10,0.1,2.0,1
1,P20_EVOCA.log_GA_FALL_S_stn,74,66,1,9,9,0.1,9.0,2
