Run Fitness1 Solution1 Fitness2 Solution2
1 79333.0 010002019 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 48015.0 060002009
1 48015.0 060002009 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 27930.0 080002005
1 27930.0 080002005 28380.0 072002005
1 28380.0 072002005 28380.0 072002005
1 28380.0 072002005 28380.0 072002005
1 28380.0 072002005 27617.4 032002005
1 27617.4 032002005 27617.4 032002005
1 27617.4 032002005 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 25896.6 080002006
1 25896.6 080002006 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
1 23584.2 071002005 23584.2 071002005
